object Path ,classification, Template Name
Model.SCF.Furnaces.'SCF (WACS) #2',OIC1_STDC0_AFDC1_PC0_OLI0,Furnace-
Model.SCF.Furnaces,OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.SCF.'SCFM (Dispatch Stock)',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.SCF.'SCF Slag',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.SCF.'SCFM Despatched',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.SCF,OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.'Slag Mill & Flotation (SC&EF)'.'SCF Slag (Priority 1)'.'Toll Required',OIC0_STDC0_AFDC0_PC0_OLI0,Object
Model.'Slag Mill & Flotation (SC&EF)'.'SCF Slag (Priority 1)'.'To Process',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.'Slag Mill & Flotation (SC&EF)'.'SCF Slag (Priority 1)'.Input,OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.'Slag Mill & Flotation (SC&EF)'.'SCF Slag (Priority 1)'.'Tolled In',OIC1_STDC0_AFDC0_PC0_OLI0,SCF Stockpile-SCF
Model.'Slag Mill & Flotation (SC&EF)'.'SCF Slag (Priority 1)'.'Tolled Out',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.'Slag Mill & Flotation (SC&EF)'.'SCF Slag (Priority 1)'.'Total Available Stock',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.'Slag Mill & Flotation (SC&EF)'.'SCF Slag (Priority 1)'.'Closing Stock',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Closing Stock-SCF
Model.'Slag Mill & Flotation (SC&EF)'.'SCF Slag (Priority 1)'.'Opening Stock',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Opening Stock-SCF
Model.'Slag Mill & Flotation (SC&EF)'.'SCF Slag (Priority 1)',OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.'Slag Mill & Flotation (SC&EF)'.'EF Slag (Priority 2)'.'Toll Required',OIC0_STDC0_AFDC0_PC0_OLI0,Object
Model.'Slag Mill & Flotation (SC&EF)'.'EF Slag (Priority 2)'.'To Process',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.'Slag Mill & Flotation (SC&EF)'.'EF Slag (Priority 2)'.Input,OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.'Slag Mill & Flotation (SC&EF)'.'EF Slag (Priority 2)'.'Tolled Out',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.'Slag Mill & Flotation (SC&EF)'.'EF Slag (Priority 2)'.'Total Available Stock',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Stockpile-SCF
Model.'Slag Mill & Flotation (SC&EF)'.'EF Slag (Priority 2)'.'Closing Stock',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Closing Stock-SCF
Model.'Slag Mill & Flotation (SC&EF)'.'EF Slag (Priority 2)'.'Opening Stock',OIC1_STDC0_AFDC2_PC0_OLI0,SCF Opening Stock-SCF
Model.'Slag Mill & Flotation (SC&EF)'.'EF Slag (Priority 2)',OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.'Slag Mill & Flotation (SC&EF)'.Process,OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.'Slag Mill & Flotation (SC&EF)'.Recoveries.SCF,OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.'Slag Mill & Flotation (SC&EF)'.Recoveries.EF,OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.'Slag Mill & Flotation (SC&EF)'.Recoveries,OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.'Slag Mill & Flotation (SC&EF)'.Concentrate,OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.'Slag Mill & Flotation (SC&EF)'.'Concentrate (Despatched to WS)',OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.'Slag Mill & Flotation (SC&EF)'.'SCF Slag Tailings',OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.'Slag Mill & Flotation (SC&EF)'.Reporting,OIC0_STDC0_AFDC1_PC0_OLI0,Object
Model.'Slag Mill & Flotation (SC&EF)'.Checks.'Process Recovery',OIC1_STDC0_AFDC1_PC0_OLI0,Metal Volumes-Stockpile
Model.'Slag Mill & Flotation (SC&EF)'.Checks.'Overall Recovery',OIC1_STDC0_AFDC1_PC0_OLI0,Metal Volumes-Stockpile
Model.'Slag Mill & Flotation (SC&EF)'.Checks.Accountability,OIC1_STDC0_AFDC1_PC0_OLI0,Metal Volumes-Stockpile
Model.'Slag Mill & Flotation (SC&EF)'.Checks,OIC0_STDC0_AFDC1_PC0_OLI0,Object
